game_id,date,location,player_count,result_type,winner_player,winner_raw,starting_player,start_time,end_time,duration_minutes,win_condition_category,win_condition_text,nuke_recorded,nuke_player,sol_ring_t1_recorded,sol_ring_t1_player,parse_confidence,needs_review,notes,source_line,raw_line
G2026-057,2026-02-22,virtual,3,win,Andrés,andres,Andrés,9:20,10:50,90,combat_damage,Andrés ganó con criaturas de +1000/+1000.,,,,,high,false,,73,9:20 10:50 anjdres empieza / osos andres jin sakai chepe abuelo Jairo / gana andres por todo tieme +1000/+1000
G2026-058,2026-02-22,virtual,3,win,Chepe,chep,Chepe,,,,direct_damage,Chepe mató a ambos por daño directo.,,,,,low,true,"La fuente menciona «artefacts lady» y «octopus», pero no permite asignarlos con seguridad a Chepe y Andrés.",74,empieza chep jin sakai jairoh artefacts lady octopus gana chep matando a mabos por direct damage
G2026-059,2026-03-03,virtual,3,win,Andrés,andres,Andrés,12:33,12:56,23,combat_damage,Andrés ganó por daño de combate; Jairo se rindió.,,,,,high,false,,76,"12:33 12:56 empieza andres / jin sakai chepe octupus lady Andres iroh jairo / andres gana por combat damage muy big, jairo se rinde"
G2026-060,2026-03-03,virtual,3,win,Jairo,jairo,,,,,,,,,,,high,false,,77,terrasagas chepe jaro iroh octolady andres / jairo
G2026-061,2026-03-03,virtual,3,win,Andrés,andres (inferido),Jairo,7:52,8:30,38,combat_damage,Andrés eliminó a ambos con daño de combate muy grande.,,,,,medium,false,,78,7:52 8:30 jairo empieza / iroh jairo jin sakai chepe helflife andres / andres mata a ambos por big dick damage
G2026-062,2026-03-03,virtual,3,win,Andrés,andres (inferido),Andrés,8:50,9:44,54,last_player_standing,Andrés eliminó a Chepe; Chepe había eliminado a Jairo.,,,,,medium,false,,79,8:50 9:44 empieza andres  / rocco chepe ragostjairo arañasungoliant andres / andres es rata y mata a chep y chep a jairo
G2026-063,2026-03-03,virtual,3,win,Chepe,chep,Andrés,7:58,8:11,13,concessions,Chepe ganó porque ambos rivales se rindieron.,,,,,high,false,,80,7:58 8:11 empieza andres / koma chepe roxanne jairo 5colores andres / chep gana por que ambos se rindieron
G2026-064,2026-03-03,virtual,3,win,Chepe,chep,Chepe,8:12,9:05,53,mill,Chepe ganó por mill.,,,,,high,false,,81,8:12 9:05 empieza chep / jin sakai chepe 5colores andres conejos jairo / chep los millea y gana
G2026-065,2026-03-26,virtual,3,win,Chepe,chep,Chepe,5:00,5:40,40,combat_damage,Chepe ganó por daño de combate.,,,,,high,false,,83,5 - 5:40 / empieza chep / jin sakai chepe iroh jairo 5colores andres / gana chep por combat damage
G2026-066,2026-03-26,virtual,3,win,Andrés,andres,Chepe,5:45,6:32,47,damage_unspecified,Andrés ganó por daño.,,,,,high,false,,84,5:45 6:32 / empieza chep / raphael chepe rata jairo  octolady adnres / gana andres por damage
G2026-067,2026-03-26,virtual,3,win,Chepe,chep,Jairo,6:35,7:15,40,,,,,,,high,false,,85,6:35 7:15 empieza jairo / octolady andres conejos jairo rapahael chepe / gana chep
G2026-068,2026-04-16,virtual,3,win,Jairo,jairo,Chepe,8:40,9:10,30,damage_unspecified,Jairo ganó por mucho daño.,,,,,high,false,,87,"8:40 9:10  raphael chepe metoritos jairo nekuzar andres / jairo gana por mucho famage, empieza chep"
G2026-069,2026-04-16,virtual,3,win,Chepe,chep,Andrés,9:12,10:08,56,,,,,,,high,false,,88,9:12 10:08 rapahael chepe omnathlocusmana andres iroh jairo / empieza andres/ gana chep
G2026-070,2026-07-10,in_person,3,win,Chepe,chep,,,,,,,,,,,high,false,,90,shadowheart chepe espiritus andres dinos jairo / gano chep
G2026-071,2026-07-10,in_person,3,win,Andrés,andres,,,,,,,,,,,high,false,,91,dragones chepe tortugas andres graveyard jairo / gana andres
G2026-072,2026-07-25,in_person,4,win,Cris,cris,,,,,,,,,,,high,false,,93,Angeles cris elementals chepe gato andres espíritus jairo / cris gana
G2026-073,2026-07-25,in_person,4,win,Andrés,Andrés,,,,,,,,,,,high,false,,94,Dinos cris vivi andres Tidus chepe marneus jairo / gana Andrés
G2026-074,2026-07-25,in_person,4,win,Chepe,chep,,,,,,,,,,,high,false,,95,Lands chepe angeles cris marneus jairo eldrazis andres / gana chep
G2026-075,2026-07-26,virtual,4,win,Chepe,Chepe,Jairo,,,125,cartas_que_ganan,Chepe hizo que la sufrieran tanto que implosionaron,true,Chepe,,,medium,true,Importado desde GitHub issue #1. https://github.com/Jos242/magicStats/issues/1 Chepe / Stardew: deck nuevo o alias no encontrado Jairo / LoreholdInternet: deck nuevo o alias no encontrado Cris / Gigantes: deck nuevo o alias no encontrado Condición de victoria nueva para revisar: cartas_que_ganan,0,"Según el 75% de los jugadores, fue la peor partida de  la historia
Según el 25% de los jugadores, fue la mejor partida de la historia"
G2026-076,2026-07-27,virtual,3,win,Andr?s,Andr?s,Jairo,,,65,,"Andres gano por un eldrazi 56/56, Chepe mato a Jairo con 189 de 5 plantas",true,Chepe,,,medium,true,Importado desde GitHub issue #3. https://github.com/Jos242/magicStats/issues/3 Andr?s / Eldrazis Colores: Deck resuelto por nombre único del catálogo; revisar si Andr?s estaba usando un deck de Andrés.,0,"Si Chepe fuera rata, gana rompiendo tratos con Andres"
